"","pano_id","geometry","direction"
"199","TMX7316010203-000352_pano_0002_000195","4.91506273949983 52.4089578046059",2
"200","TMX7316010203-000352_pano_0002_000196","4.91511642350218 52.4089883126339",2
"201","TMX7316010203-000352_pano_0002_000201","4.9154269545188 52.4091002796151",4
"202","TMX7316010203-000352_pano_0002_000202","4.91546532905555 52.4091378560745",4
"203","TMX7316010203-000335_pano_0000_005294","4.97432066337234 52.2951274084266",3
"204","TMX7316010203-000335_pano_0000_005304","4.97450148219625 52.2946923340195",4
"205","TMX7316010203-000335_pano_0000_005305","4.97451035087819 52.2946474473243",3
"206","TMX7316010203-000335_pano_0000_008135","4.96806204878668 52.2985076529549",2
"207","TMX7316010203-000335_pano_0000_008136","4.96813111042553 52.2985249466158",3
"208","TMX7316010203-000335_pano_0000_008137","4.96819116956389 52.2985483007947",2
"209","TMX7316010203-000335_pano_0000_008138","4.96823087647569 52.2985856486999",1
"210","TMX7316010203-000335_pano_0000_008138","4.96823087647569 52.2985856486999",2
"211","TMX7316010203-000335_pano_0000_008139","4.96825085138602 52.298628539081",2
"212","TMX7316010203-000335_pano_0000_008140","4.96825183285332 52.2986735767735",1
"213","TMX7316010203-000335_pano_0000_008141","4.96823259841039 52.29871748218",1
"214","TMX7316010203-000259_pano_0008_000922","4.85265479235563 52.3508377020756",2
"215","TMX7316010203-000448_pano_0000_005235","4.82449714655421 52.2835946124828",1
"216","TMX7316010203-000448_pano_0000_005270","4.82442541518721 52.2836462314079",4
"217","TMX7316010203-000292_pano_0001_000014","4.79133953378379 52.3556553338436",4
"218","TMX7316010203-000292_pano_0001_000015","4.79138658539907 52.3555699905698",3
"219","TMX7316010203-000292_pano_0001_000021","4.79165215247775 52.3550537528339",4
"220","TMX7316010203-000292_pano_0001_000022","4.79169664410858 52.3549673602998",3
"221","TMX7316010203-000292_pano_0001_000022","4.79169664410858 52.3549673602998",4
"222","TMX7316010203-000292_pano_0001_000023","4.79174123654857 52.3548817966534",3
"223","TMX7316010203-000312_pano_0000_000601","4.88059239164514 52.4151527011531",1
"224","TMX7316010203-000312_pano_0000_000602","4.88053381889559 52.4151840283287",1
"225","TMX7316010203-000408_pano_0000_000757","4.73739434466567 52.2657259675291",2
"226","TMX7316010203-000285_pano_0000_001475","4.81573742428591 52.3460982795763",1
"227","TMX7316010203-000285_pano_0000_001479","4.81532401548352 52.3462827506748",1
"228","TMX7316010203-000526_pano_0000_002096","5.18360344723836 52.3668724630588",1
"229","TMX7316010203-000526_pano_0000_002096","5.18360344723836 52.3668724630588",3
"230","TMX7316010203-000454_pano_0000_002759","4.83316239505909 52.2754480537525",1
"231","TMX7316010203-000454_pano_0000_002779","4.83183864687638 52.2758067075846",1
"232","TMX7316010203-000454_pano_0000_002780","4.83176976177567 52.2758237408985",4
"233","TMX7316010203-000454_pano_0000_002781","4.8317153397526 52.275796298175",4
"234","TMX7316010203-000471_pano_0000_011320","4.8231618235995 52.3111307974783",2
"235","TMX7316010203-000471_pano_0000_011321","4.82315793273603 52.3111754235745",1
"236","TMX7316010203-000471_pano_0000_011324","4.82312179545324 52.3113040995429",2
"237","TMX7316010203-000471_pano_0000_011325","4.82310454091473 52.3113473951994",1
"238","TMX7316010203-000471_pano_0000_011326","4.82308438100573 52.3113903009666",2
"239","TMX7316010203-000471_pano_0000_011327","4.82306182546843 52.3114330402337",2
"240","TMX7316010203-000471_pano_0000_011335","4.82277486469522 52.3117458952806",2
"241","TMX7316010203-000471_pano_0000_011336","4.8227264017061 52.3117809423383",4
"242","TMX7316010203-000369_pano_0001_000267","4.93538454124491 52.3985735688901",2
"243","TMX7316010203-000369_pano_0001_000268","4.93532440976352 52.3985982703455",1
"244","TMX7316010203-000369_pano_0001_000269","4.93526375121061 52.3986228466802",1
"245","TMX7316010203-000369_pano_0001_000269","4.93526375121061 52.3986228466802",4
"246","TMX7316010203-000369_pano_0001_000270","4.93520310253787 52.3986473140537",1
"247","TMX7316010203-000369_pano_0001_000270","4.93520310253787 52.3986473140537",4
"248","TMX7316010203-000369_pano_0001_000271","4.93514304212985 52.3986723381447",4
"249","TMX7316010203-000369_pano_0001_000289","4.93405338704694 52.3991236879325",1
"250","TMX7316010203-000369_pano_0001_000290","4.93399207776467 52.3991479665565",4
"251","TMX7316010203-000336_pano_0000_012786","4.98925035764343 52.2953458103669",2
"252","TMX7316010203-000336_pano_0000_012787","4.98925995288621 52.2953890280611",2
"253","TMX7316010203-000336_pano_0000_012788","4.98926926728661 52.2954327435834",1
"254","TMX7316010203-000242_pano_0000_000741","4.93913911914774 52.3392717244617",2
"255","TMX7316010203-000242_pano_0000_000741","4.93913911914774 52.3392717244617",4
"256","TMX7316010203-000242_pano_0000_000742","4.93924419170243 52.3392062644107",3
"257","TMX7316010203-000242_pano_0000_000753","4.94035498325864 52.3384991006365",4
"258","TMX7316010203-000242_pano_0000_000754","4.94045865126392 52.3384377145818",2
"259","TMX7316010203-000242_pano_0000_000755","4.94056830589062 52.3383803399624",2
"260","TMX7316010203-000242_pano_0000_000768","4.94206315056764 52.3376878296433",4
"261","TMX7316010203-000242_pano_0000_000769","4.94217846763526 52.3376356749551",2
"262","TMX7316010203-000242_pano_0000_000769","4.94217846763526 52.3376356749551",3
"263","TMX7316010203-000275_pano_0000_001112","4.8488746763458 52.3818772590714",1
"264","TMX7316010203-000275_pano_0000_001113","4.84873107004551 52.3818769955769",1
"265","TMX7316010203-000275_pano_0000_001113","4.84873107004551 52.3818769955769",4
"266","TMX7316010203-000257_pano_0000_001637","4.86171633602688 52.3350362059149",4
"267","TMX7316010203-000257_pano_0000_001641","4.86230694123926 52.3350415620974",4
"268","TMX7316010203-000257_pano_0000_001642","4.86245421804187 52.3350448012566",1
"269","TMX7316010203-000258_pano_0000_000011","4.91297796239376 52.3436722749871",4
"270","TMX7316010203-000305_pano_0000_004459","4.8289706461603 52.3833001579635",1
"271","TMX7316010203-000317_pano_0000_002319","4.89414334875968 52.4152802975194",1
"272","TMX7316010203-000317_pano_0000_002320","4.89407142096547 52.415271280923",4
"273","TMX7316010203-000317_pano_0000_002321","4.89400003486184 52.4152608105396",4
"274","TMX7316010203-000317_pano_0000_002322","4.89393169585532 52.4152451786508",4
"275","TMX7316010203-000520_pano_0000_000199","4.89125569956111 52.4052100429089",4
"276","TMX7316010203-000520_pano_0000_000207","4.89152798410241 52.4055340033859",2
"277","TMX7316010203-000520_pano_0000_000208","4.8915660155916 52.4055732648085",2
"278","TMX7316010203-000520_pano_0000_000212","4.89169623345166 52.405737353373",2
"279","TMX7316010203-000520_pano_0000_000213","4.8917276640763 52.4057787638125",2
"280","TMX7316010203-000520_pano_0000_000214","4.89175870299589 52.4058200719315",1
"281","TMX7316010203-000280_pano_0000_001925","4.87309402491874 52.3753179513908",3
"282","TMX7316010203-000337_pano_0000_009360","4.97382101920481 52.3227329807406",4
"283","TMX7316010203-000279_pano_0000_004635","4.85492353554581 52.3904541176321",1
"284","TMX7316010203-000279_pano_0000_004636","4.85478329276366 52.3904276443834",4
"285","TMX7316010203-000448_pano_0000_006434","4.82116644615853 52.2859272868688",1
"286","TMX7316010203-000448_pano_0000_006436","4.82126767674809 52.2859992059322",2
"287","TMX7316010203-000448_pano_0000_006437","4.82130115285352 52.2860410258694",1
"288","TMX7316010203-000448_pano_0000_006437","4.82130115285352 52.2860410258694",3
"289","TMX7316010203-000448_pano_0000_006438","4.82133466376088 52.2860818363278",2
"290","TMX7316010203-000448_pano_0000_006439","4.82136815273866 52.2861222240511",1
"291","TMX7316010203-000448_pano_0000_006461","4.8222349292677 52.2869490042068",3
"292","TMX7316010203-000448_pano_0000_006462","4.82228022881077 52.2869834455766",2
"293","TMX7316010203-000448_pano_0000_006463","4.82232430196914 52.2870186493372",1
"294","TMX7316010203-000448_pano_0000_006472","4.82278956845305 52.2872513606033",3
"295","TMX7316010203-000448_pano_0000_006473","4.82286068784654 52.2872415967285",2
"296","TMX7316010203-000216_pano_0000_003923","4.8549925784947 52.2980374821269",4
"297","TMX7316010203-000216_pano_0000_003926","4.85489212272909 52.2977728096879",4
"298","TMX7316010203-000216_pano_0000_003967","4.85463249780413 52.2940545508912",4
"299","TMX7316010203-000216_pano_0000_003968","4.85462663449523 52.2939643393526",3
"300","TMX7316010203-000506_pano_0000_005386","5.14605074328344 52.345129627157",2
"301","TMX7316010203-000293_pano_0000_004439","4.82072674342044 52.379497061114",2
"302","TMX7316010203-000293_pano_0000_004440","4.82075747693388 52.3795849610519",1
"303","TMX7316010203-000293_pano_0000_004460","4.82167775980933 52.3812894289765",3
"304","TMX7316010203-000434_pano_0000_000267","4.85736887213129 52.3207014147499",4
"305","TMX7316010203-000434_pano_0000_000268","4.8573658347499 52.3206562827926",3
"306","TMX7316010203-000434_pano_0000_000268","4.8573658347499 52.3206562827926",4
"307","TMX7316010203-000434_pano_0000_000269","4.8573627286447 52.3206109633317",3
"308","TMX7316010203-000434_pano_0000_000286","4.85729055782802 52.3198445473997",4
"309","TMX7316010203-000434_pano_0000_000287","4.85728778971377 52.3197995042994",3
"310","TMX7316010203-000434_pano_0000_000287","4.85728778971377 52.3197995042994",4
"311","TMX7316010203-000301_pano_0000_003049","4.94816593404531 52.3898954376894",3
"312","TMX7316010203-000471_pano_0000_004884","4.79056340099718 52.259080185294",1
"313","TMX7316010203-000242_pano_0000_004850","4.93407131488186 52.3612360039072",1
"314","TMX7316010203-000242_pano_0000_004851","4.9340832497439 52.3611557876327",2
"315","TMX7316010203-000242_pano_0000_004852","4.93419827125055 52.3611145207348",3
"316","TMX7316010203-000242_pano_0000_004853","4.93434183247314 52.3611172425629",2
"317","TMX7316010203-000427_pano_0000_007068","4.85446481078867 52.2779451944984",2
"318","TMX7316010203-000427_pano_0000_007069","4.85440360316241 52.2779662562285",3
"319","TMX7316010203-000427_pano_0000_007072","4.85436782989199 52.2778995509487",4
"320","TMX7316010203-000427_pano_0000_007073","4.85445488607488 52.2778926915999",1
"321","TMX7316010203-000529_pano_0000_000534","4.87574353687522 52.393594783554",1
"322","TMX7316010203-000529_pano_0000_000535","4.8756784914236 52.3936147509857",4
"323","TMX7316010203-000529_pano_0000_000536","4.87561390808655 52.3936351917996",4
"324","TMX7316010203-000471_pano_0000_004686","4.8009010735016 52.2639006969287",1
"325","TMX7316010203-000471_pano_0000_004687","4.80083164314229 52.263916012621",4
"326","TMX7316010203-000276_pano_0000_000096","4.87109504315827 52.3668927305662",3
"327","TMX7316010203-000258_pano_0002_002989","4.8656010086778 52.3545712676186",3
"328","TMX7316010203-000493_pano_0000_000006","5.28014974868647 52.3854344787738",1
"329","TMX7316010203-000493_pano_0000_000007","5.28008894730025 52.385409090335",4
"330","TMX7316010203-000493_pano_0000_000009","5.2799681831202 52.3853567599497",3
"331","TMX7316010203-000255_pano_0000_001007","4.91103676357341 52.3384942415411",3
"332","TMX7316010203-000255_pano_0000_001008","4.9111778489289 52.3384777117001",2
"333","TMX7316010203-000255_pano_0000_001010","4.91144545717169 52.3384129472517",2
"334","TMX7316010203-000369_pano_0000_000384","4.91791438858284 52.4054851681508",3
"335","TMX7316010203-000369_pano_0000_000385","4.91798664231747 52.4054792439287",2
"336","TMX7316010203-000286_pano_0000_000121","4.81613828789696 52.3470817254999",2
"337","TMX7316010203-000467_pano_0000_000025","4.7654357653276 52.255707136006",4
"338","TMX7316010203-000467_pano_0000_000026","4.76547421912049 52.2556684390576",3
"339","TMX7316010203-000467_pano_0000_000026","4.76547421912049 52.2556684390576",4
"340","TMX7316010203-000467_pano_0000_000027","4.76551271756785 52.2556298814975",2
